,index,Country Name,Year,Alcohol consumption
0,200,Czechia,2000,14.22081
1,201,Estonia,2000,10.45458
2,202,France,2000,13.71902
3,203,United States,2000,9.05296
4,204,South Africa,2000,8.96411
5,225,Czechia,2005,13.9892
6,226,Estonia,2005,15.25045
7,227,France,2005,12.81452
8,228,United States,2005,9.29658
9,229,South Africa,2005,8.74658
10,250,Czechia,2010,13.3274
11,251,Estonia,2010,14.22937
12,252,France,2010,12.25158
13,253,United States,2010,9.34309
14,254,South Africa,2010,8.67807
15,275,Czechia,2015,13.21968
16,276,Estonia,2015,15.05872
17,277,France,2015,11.72756
18,278,United States,2015,9.48589
19,279,South Africa,2015,8.88007
20,295,Czechia,2019,13.28805
21,296,Estonia,2019,11.26302
22,297,France,2019,11.30123
23,298,United States,2019,9.56731
24,299,South Africa,2019,8.76621
25,0,California,2021,8.215853864
26,1,California,2020,7.77144673
27,2,California,2019,7.206285017000001
28,3,California,2018,7.345966646000001
29,4,California,2017,7.304705677
30,5,California,2016,7.266473036
31,6,California,2015,7.302434431000001
32,7,California,2014,7.280857594
33,8,California,2013,7.440601896000001
34,9,California,2012,7.340288531
35,10,California,2011,7.379278254
36,11,California,2010,6.880361216000001
37,12,California,2009,6.901559512
38,13,California,2008,6.985974155000001
39,14,California,2007,6.883768085000002
40,15,California,2006,7.060546732000001
41,16,California,2005,6.64717996
42,17,California,2004,6.766041834000001
43,18,California,2003,6.787240130000001
44,19,California,2002,6.526425381
45,20,California,2001,6.618789385
46,21,California,2000,6.699797159
47,22,California,1999,6.6547507800000005
48,23,California,1998,6.5718503010000004
49,24,California,1997,6.661185977000001
50,25,California,1996,6.770205785
51,26,California,1995,6.739543964
52,27,California,1994,6.750521653000001
53,28,California,1993,7.026856583000001
54,29,California,1992,7.3137906610000005
55,30,California,1991,7.743813237
56,31,California,1990,8.153394599
57,32,California,1989,8.433893480000002
58,33,California,1988,8.679566589
59,34,California,1987,9.090662115
60,35,California,1986,9.494186821000001
61,36,California,1985,9.629704498999999
62,37,California,1984,9.698977502
63,38,California,1983,9.92534502
64,39,California,1982,9.905660888000002
65,40,California,1981,10.222121164
66,41,California,1980,10.454166797
67,42,California,1979,10.19789454
68,43,California,1978,10.266789002000001
69,44,California,1977,9.98969699
70,45,California,1976,9.650902795
71,46,California,1975,9.479423722
72,47,California,1974,9.284475107
73,48,California,1973,9.086876705
74,49,California,1972,8.837039645
75,50,California,1971,8.652311637
76,51,California,1970,8.141281287
77,52,California,1969,8.219260733
78,53,California,1968,7.589368509000001
79,54,California,1967,7.252467019
80,55,California,1966,7.367164942
81,56,California,1965,7.136254931999999
82,57,California,1964,7.102943324000001
83,58,California,1963,6.644908714
84,59,California,1962,6.595698384000002
85,60,California,1961,6.460559247000001
86,61,California,1960,6.339047586000001
87,62,California,1955,6.071797640000001
88,63,California,1950,6.587370482000001
89,64,California,1945,7.747220106000001
90,65,California,1940,5.5899149470000005
91,66,California,1935,5.951800143
