,Region,Year,Rate
0,EST,2015,14.5
1,EST,2016,13.3
2,EST,2017,16.5
3,EST,2018,14.0
4,EST,2019,14.1
5,EST,2020,15.2
6,EST,2021,13.6
7,FRA,2015,13.6
8,FRA,2016,12.7
9,FRA,2017,12.3
10,CZE,2015,12.6
11,CZE,2016,12.0
12,CZE,2017,12.8
13,CZE,2018,12.3
14,CZE,2019,10.7
15,CZE,2020,10.9
16,CZE,2021,11.1
17,SA,2000,22.4
18,SA,2001,23.0
19,SA,2002,24.3
20,SA,2003,25.1
21,SA,2004,24.6
22,SA,2005,24.4
23,SA,2006,23.6
24,SA,2007,24.6
25,SA,2008,26.7
26,SA,2009,26.7
27,SA,2010,24.6
28,SA,2011,22.4
29,SA,2012,22.9
30,SA,2013,23.7
31,SA,2014,24.1
32,SA,2015,24.5
33,SA,2016,24.4
34,SA,2017,25.2
35,SA,2018,24.1
36,SA,2019,23.5
37,CA,2021,10.1
38,CA,2020,10.0
39,CA,2019,10.7
40,CA,2018,10.9
