date, Total, Male, Female
2000-12-31,22.4,35.5,9.7
2001-12-31,23,36.2,10.2
2002-12-31,24.3,37.6,11.3
2003-12-31,25.1,38.5,12.1
2004-12-31,24.6,37.7,11.9
2005-12-31,24.4,37.5,11.5
2006-12-31,23.6,36.6,10.9
2007-12-31,24.6,38,11.5
2008-12-31,26.7,40.9,12.9
2009-12-31,26.7,40.9,13
2010-12-31,24.6,37.3,12.3
2011-12-31,22.4,34.1,11
2012-12-31,22.9,36,10.1
2013-12-31,23.7,38.1,9.7
2014-12-31,24.1,38.7,9.8
2015-12-31,24.5,39.5,9.9
2016-12-31,24.4,39.2,10.1
2017-12-31,25.2,40.8,10
2018-12-31,24.1,39,9.7
2019-12-31,23.5,37.6,9.8
